D_name,De_name,phone_number,H_name,rating
Dr. Daniel King,Pediatrics,456-789-0123,City Medical Center,3.0
Dr. Daniel King,Pediatrics,456-789-0123,Green Valley Hospital,1.0
Dr. Ella Scott,Radiology,567-890-1234,Green Valley Hospital,0.0
Dr. Ella Scott,Radiology,567-890-1234,Sunshine Health Clinic,0.0
Dr. Frank Adams,Emergency,,City Medical Center,0.0
Dr. Frank Adams,Emergency,,Green Valley Hospital,0.0
Dr. Frank Adams,Emergency,,Sunshine Health Clinic,0.0
Dr. Grace White,General Surgery,,City Medical Center,0.0
Dr. Henry Smith,Anesthesiology,,Clearwater General Hospital,0.0
Dr. Isabella Green,Urology,,City Medical Center,0.0
Dr. Isabella Green,Urology,,Sunshine Health Clinic,0.0
Dr. Jack Brown,Dermatology,,Sunshine Health Clinic,0.0
Dr. Jack Brown,Dermatology,,Clearwater General Hospital,0.0
Dr. Karen Miller,Ophthalmology,,Clearwater General Hospital,0.0
Dr. Leo Taylor,"ENT (Ear, Nose, Throat)",,City Medical Center,0.0
Dr. Leo Taylor,"ENT (Ear, Nose, Throat)",,Green Valley Hospital,0.0
Dr. Leo Taylor,"ENT (Ear, Nose, Throat)",,Sunshine Health Clinic,0.0
Dr. Leo Taylor,"ENT (Ear, Nose, Throat)",,Clearwater General Hospital,0.0
Dr. Maria Gonzalez,Oncology,,Golden Care Hospital,0.0
Dr. Nathan Clark,Gynecology,,Golden Care Hospital,0.0
Dr. Olivia King,Psychiatry,,Green Valley Hospital,0.0
Dr. Olivia King,Psychiatry,,Golden Care Hospital,0.0
Dr. Patrick Williams,Dental,,Golden Care Hospital,0.0
Dr. Quentin Harris,ICU (Intensive Care Unit),,City Medical Center,0.0
Dr. Quentin Harris,ICU (Intensive Care Unit),,Sunshine Health Clinic,0.0
Dr. Rachel Edwards,Pharmacy,,City Medical Center,0.0
Dr. Rachel Edwards,Pharmacy,,Golden Care Hospital,0.0
Dr. Samuel James,Pathology,,Sunshine Health Clinic,0.0
Dr. Samuel James,Pathology,,Golden Care Hospital,0.0
Dr. Thomas Baker,Physiotherapy,,City Medical Center,0.0
Dr. Thomas Baker,Physiotherapy,,Clearwater General Hospital,0.0
Dr. Ursula Moore,Nursing - General Ward,,Green Valley Hospital,0.0
Dr. Vincent Clark,Nursing - ICU,,Sunshine Health Clinic,0.0
Dr. Wendy Young,Nursing - Maternity,,Golden Care Hospital,0.0
Dr. Xavier Brown,Nursing - Pediatric,,City Medical Center,0.0
Dr. Xavier Brown,Nursing - Pediatric,,Sunshine Health Clinic,0.0
Dr. Yvonne Smith,Administrative - HR,,Green Valley Hospital,0.0
Dr. Yvonne Smith,Administrative - HR,,Golden Care Hospital,0.0
Dr. Zachary Taylor,Administrative - Front Desk,,Sunshine Health Clinic,0.0
Dr. Zachary Taylor,Administrative - Front Desk,,Clearwater General Hospital,0.0
Dr. Abby Green,Administrative - Accounting,,Clearwater General Hospital,0.0
Dr. Abby Green,Administrative - Accounting,,Golden Care Hospital,0.0
Dr. Ben Wood,Housekeeping - General,,Clearwater General Hospital,0.0
Dr. Ben Wood,Housekeeping - General,,Golden Care Hospital,0.0
Dr. Charlie Lee,Housekeeping - ICU,,City Medical Center,0.0
Dr. Charlie Lee,Housekeeping - ICU,,Green Valley Hospital,0.0
Dr. Diana White,Security - Day Shift,,Green Valley Hospital,0.0
Dr. Diana White,Security - Day Shift,,Golden Care Hospital,5.0
